,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
151,152,9,12525094.0,1267000.0,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,0,50.73,20.91,0.39,0.17,0.44
152,153,9,131859731.0,923768.0,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1,40.43,16.94,0.269,0.487,0.244
153,143,8,82459.0,477.0,172.9,310.69,9.61,7.11,12500.0,97.0,254.7,13.04,4.35,82.61,2,19.43,2.29,0.15084433962264152,0.28271090047393366,0.5652830188679244
154,154,10,4610820.0,323802.0,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,4,11.46,9.4,0.021,0.415,0.564
155,155,5,3102229.0,212460.0,14.6,0.98,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,0,36.24,3.81,0.027,0.39,0.583
156,156,0,165803560.0,803940.0,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,0,29.74,8.23,0.216,0.251,0.533
157,157,8,20579.0,458.0,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2,18.03,6.8,0.062,0.12,0.818
158,158,4,3191319.0,78200.0,40.8,3.18,-0.91,20.47,6300.0,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,0.068,0.156,0.776
159,159,8,5670544.0,462840.0,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2,29.36,7.25,0.353,0.381,0.266
160,160,4,6506464.0,406750.0,16.0,0.0,-0.08,25.63,4700.0,94.0,49.2,7.6,0.23,92.17,2,29.1,4.49,0.224,0.207,0.569
161,161,4,28302603.0,1285220.0,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1,20.48,6.23,0.08,0.27,0.65
162,162,0,89468677.0,300000.0,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
